Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
CSNZ059,Vỏ Case NZXT H700i   (Mid Tower/Màu Đen/Đỏ) ,24 tháng,4999000,4299000,img/CASE/250_38658_case_nzxt_h700i_smart_atx_case_matte_black_red_0000_1__5_.jpg,"- Kích thước: W: 230mm H: 494mm D: 494mm (without feet).-  W: 230mm H: 516mm D: 494mm (with feet).- Chất liệu: SECC Steel and Tempered Glass.- Trọng lượng: 12.27 kg.- Hỗ trợ bo mạch chủ chuẩn: Mini-ITX, MicroATX, ATX and EATX(Up to 272mm or 10.7-inches)."
CSCM145,Vỏ Case Cooler Master MasterBox TD500TG Mesh ARGB (Mid Tower/Màu đen/Led ARGB/Mặt lưới),24 tháng,2599000,2219000,img/CASE/250_51619_vo_case_cooler_master_masterbox_td500tg_mesh_argb_mid_tower_mau_den_led_argb_mat_luoi_5.png,"- Loại case: Mid Tower.- Hỗ trợ mainboard: ATX; Micro-ATX; Mini-ITX.- Khay mở rộng tối đa: 2 x 3.5"" , 4 x 2.5"".- Cổng USB: 2 x USB 3.0.- Số quạt tặng kèm: 3 x 120mm ARGB."
CSFP005,Vỏ Case FSP CMT710 (Full Tower/ Màu Đen),24 tháng,9299000,8699000,img/CASE/250_52244_fsp_cmt710_0003_1__1_.jpg,"- Thiết kế mang phong cách đối xứng đậm chất game thủ.- Toàn bộ vỏ case làm bằng nhôm, và kính cường lực..- Thiết kế mở độc đáo, các góc cạnh vát chéo mạnh mẽ..- Hỗ trợ cùng lúc 2 bộ máy trong 1 vỏ case, đặc biệt phù hợp với các streamer..- Hỗ trợ lên tới 2 bộ tản nhiệt 360mm.."
CSJE019,Vỏ Case Jetek G9019B (Mid-Tower/Màu Bạc),24 tháng,0,4589000,img/CASE/250_48070_case_jetek_9019_0001_90194_1024x1024.jpg,"- Hỗ trợ mainboard: Mini-ITX, Micro-ATX, ATX.- Hỗ trợ ổ: 3.5 x2 ổ 2.5 x4.- Chiều dài VGA tối đa: 350mm.- Chiều cao tản CPU tối đa: 190mm."
CSTH097,Vỏ Case Thermaltake View 37   (Mid Tower/Màu Đen/Led RGB Edition),24 tháng,3989000,3299000,img/CASE/250_43257_case_thermaltake_view_37_rgb_edition_0005_1__1_.jpg,
CSIW049,Vỏ Case InWin 915  - Full Aluminium Ultimate Gaming (Mid Tower/Màu Bạc/Led RGB),24 tháng,8989000,7799000,img/CASE/250_44758_case_inwin_915_rgb_silver___full_aluminium_ultimate_gaming_e_atx_0001_1__18_.jpg,"- Mẫu vỏ làm từ nhôm và thép cao cấp.- Hỗ trợ mainboard: Mini-ITX, Micro-ATX, ATX, E-ATX.- Cổng kết nối mặt trước: USB3.0 × 2, USB3.1 Type-C × 1, Audio × 1, Mic × 1 (hỗ trợ HD Audio), controller.- Chiều dài VGA tối đa: 421mm.- Chiều cao tản CPU tối đa: 168mm."
CSMS005,Vỏ Case MSI MPG SEKIRA 500G Tempered Glasses Aluminum chassis  (Mid Tower/Màu Đen),24 tháng,5699000,4789000,img/CASE/250_48745_case_msi_mpg_sekira_500g_tempered_glasses_aluminum_chassis_0001_1__7_.jpg,"- Chất liệu nhôm cao cấp.- Kích thước lớn, phù hợp với các hệ thống workstation hoặc hệ thống gaming sử dụng tản nhiệt custom.- Khung bắt radiator và quạt tháo rời.- Kính cường lực sử dụng bản lề đóng mở."
CSXM052,Vỏ Case Xigmatek Aquarius Plus (Mid Tower/Màu Đen) ,12 tháng,0,1999000,img/CASE/250_48575_case_xigmatek_aquarius_plus_black_no_fan__6_.jpg,"- Mẫu vỏ case với thiết kế đặc biệt với phần hông và mặt trước trang bị kính cường lực..- Khác biệt với các mẫu vỏ case khác sở hữu chung thiết kế, Xigmatek Aquarius không bao gồm thanh đỡ kim loại ở phần góc do đó sẽ đem lại một góc nhìn toàn diện vào trong bộ máy của bạn.- Hai tấm kính lớn cùng với vị trí lắp radiator và quạt đa dạng, đặc biệt phù hợp với các bộ máy sử dụng tản nhiệt nước Custom."
CSCM155,Vỏ Case Cooler Master MasterCase H500P TG Mesh ARGB (Mid Tower/Màu đen/Led ARGB/Mặt lưới),24 tháng,4599000,4029000,img/CASE/250_51629_vo_case_cooler_master_mastercase_h500p_tg_mesh_argb_mid_tower_mau_den_led_argb_mat_luoi_0005_1__1_.jpg,"- Hỗ trợ mainboard: Mini ITX, Micro ATX, ATX, E-ATX (tối đa 12 x 10.7 inch).- Radiator lắp đặt tối đa: 2x280/360mm và 1 x 120/140mm.- Chiều cao tản nhiệt CPU tối đa: 190mm.- Chiều dài VGA: 412mm."
CSFP006,Vỏ case FSP CMT260 (Mid Tower/Màu Đen),24 tháng,999000,799000,img/CASE/250_52245__fsp_cmt260_0005_1__1_.jpg,"- FSP CMT260 là mẫu vỏ case ATX phù hợp tối đa với card đồ họa cao cấp có chiều dài tới 325mm.- Tản nhiệt CPU chiều cao tới 170mm.- Khung thép SPCC sơn phủ màu đen tuyệt đẹp.- CMT260 được thiết kế đặc biệt dành cho các game thủ với sự pha trộn hoàn hảo của công nghệ và sự thanh lịch..- Phù hợp với các bản modding, tản nhiệt nước Custom.."
